stars,date,verified_purchase,manufacturer_replied,username,userUrl,title,review,reviewUrl,total_found_helpful,images,variation,videoUrl
4,"Reviewed in the United States 🇺🇸 on April 16, 2023",True,False,Ruth Kelly,https://www.amazon.com/gp/profile/amzn1.account.AE757UFRWUGWUBCB26L4TFQPHYXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Keep around a 2l water level and start from seed,"It's easy to put together, but try having the water level around the 2l level and maybe a little bit lower. I put in the max amount of water at first and the pump just didn't really work. When it evaporated down to around 2L I could really see it working when the timer turned it on. I started a few herbs from plants I washed the dirt out of, but only the Basil did well with that method. The plants I eventually started from seed did better.",https://www.amazon.com/gp/customer-reviews/R2KR8RQQCDK9QZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on April 7, 2023",True,False,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGMTIC5GYSUGFVMMVDBTQWFTV34A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Best unit for price,"This product arrived on time and packaged well. It has great instructions located in the manual for a easy set up and the User Guide can be placed for continued reference. The possibilities are endless for this model. Inside growth of veg or flowers as well as a alternative for starting seedlings to plant outdoors as weather permits. I can grow all through winter and harvest almost daily and outside changes will not affect me. The pods to grow as well as the clear capsules are included. All I had to do was set up in five minutes, add my seeds and start journaling on this gardening journey. I have recommended this to others in my gardening group and I see myself returning in the near future to purchase another unit so I can really have grand harvest right here in my apartment. Thank you.",https://www.amazon.com/gp/customer-reviews/RSNA3R08DQEI6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,1.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on November 30, 2022",True,False,Love to shop,https://www.amazon.com/gp/profile/amzn1.account.AHT3NR4IFNG2OHUZYAZMKMBXSLKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Their warranty work is amazing.,"I purchased the qyo hydroponics grow kit. It was easy to setup following the instructions. I rotated seedlings all spring/summer. I'd start my seeds in hydroponics and than transfer them to their own pot to continue growing and than out to the garden!Unfortunately it stopped working and I put it away. I missed planting so I contacted Qyo and since it was still under warranty, they are sending me a new one! I'm so happy. I don't normally bother with customer service/warranty work because it's too complicated and I get pissed. JENNIE at customer service was so helpful, didn't make me feel guilty for asking for the warranty coverage. She was so helpful.I really suggest purchasing this product over others such as the Aero garden. This product has more planting room for 1/3rd the cost.",https://www.amazon.com/gp/customer-reviews/RY44OLI78VFTW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,32.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on February 4, 2023",True,False,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGGTF4UR3VU6AFGIJ6VN5XQUOOSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Customer service is great,"My light panel stopped working 9 months after I bought it. Emailed customer service and they sent a replacement light panel, which also did not work. They sent a new unit to me. Very inconvenient and my plants are not doing well through this BUT customer service is amazing.",https://www.amazon.com/gp/customer-reviews/R13Y7CBHJRHF76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,9.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on January 30, 2023",True,False,Loretta Steward,https://www.amazon.com/gp/profile/amzn1.account.AGTJOUTYBLXEDCAJTJ7WKM5NTBFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,I like the brightness of the lights,The seeds take over a week to germinate.  I thought they would germinate quicker.  Also the sponges turn green pretty quickly.  I thought they could be reuseable but they are not.  Otherwise I do like the product and so does my guinea pig.,https://www.amazon.com/gp/customer-reviews/RCWF7MDCWOD5N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,2.0,[],{'Color': 'Black'},
4,"Reviewed in the United States 🇺🇸 on December 14, 2022",True,False,Nicholas,https://www.amazon.com/gp/profile/amzn1.account.AFUFMXEMIEN6RCWEQNWYTDSTO7WQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Good product, broke, good Customer Service","I got mine several months ago. It worked great! My plants grew like crazy, it was easy to use, and I loved it.A few weeks ago, it just suddenly stopped working. I contact Customer Support and they were terrific.After walking through several steps to make sure I just wasn't being dumb, they sent a new one.This new one is great. I made sure to wait several weeks before writing this review to ensure the second one still worked. It does. Going strong and growing all sorts of veggies for me.",https://www.amazon.com/gp/customer-reviews/R37A8QFEAG0IWP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,11.0,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on March 23, 2023",True,False,WishGigglesWishGiggles,https://www.amazon.com/gp/profile/amzn1.account.AHSH5TTSNEVKK22TJA7EFFQGHIWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,growing well,"it was a little slow starting, but then got going well. The light seems better than the other grow lights I have in my garden room, enough, so I'm able to put some other plants in front of the hydroponic thing to gather up some of the light. I didn't have to do the milar curtain, but I decided to try it this last month, I don't know if it makes a difference or not, it sure isn't hurting it very giftable. I'm very happy with it over all.",https://www.amazon.com/gp/customer-reviews/R29SS237COCS3A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,2.0,['https://m.media-amazon.com/images/I/7155inkmOpL.jpg'],{'Color': 'Black'},
3,"Reviewed in the United States 🇺🇸 on February 27, 2023",True,False,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFOCAGZQMXLGKYFQ37WNFWDQ7TRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"There’s no bells and whistles, but he gets the job done","Overall, this product does what it says it does. It is a great starter garden, but if you are looking to replace your aero garden and are use to that level of interaction, this is not the machine for you. While this hydro-garden does grow plants, it is very basic with only two grow modes and no interactive system to let you know your garden status. For the price, however, it is an excellent starter garden for a kid or a purchase for someone that isn’t quite ready to commit a lot of money to a name-brand top of the line hydro-garden. Like other people, I also had a problem with mold. Increasing the air flow with a fan and wiping it from the grow pods, helped a lot but did not totally solve the issue.",https://www.amazon.com/gp/customer-reviews/R37D68T9EOX8K4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,1.0,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on April 17, 2023",True,False,James Hamilton,https://www.amazon.com/gp/profile/amzn1.account.AGUFTKZJJKU4PG6AFHSHPDTLATUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Customer service is prompt,I originally purchased this product 2 years ago well suddenly it stopped working they sent me a new one took about a wk to get here didn't cost a penny outstanding product outstanding customer service thank you sue,https://www.amazon.com/gp/customer-reviews/R3EA8YE1OQW7UP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,[],{'Color': 'Black'},
5,"Reviewed in the United States 🇺🇸 on April 16, 2023",True,False,joseph szymanski,https://www.amazon.com/gp/profile/amzn1.account.AF5ANXVGNW6Q4GIGTUOQTPRFSZKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,happy with results,easy to set up.. great way to start seeds and grow in the QYO hydro planter.i am very happy and on my 2nd planting in just 3 weeks.,https://www.amazon.com/gp/customer-reviews/R3IWIZO54UO5RP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TVXQ5S1,,[],{'Color': 'Black'},
